State,Week,1,2,3,4,5
NC,week5,30.77%,23.08%,30.77%,0.00%,15.38%
ND,week1,0.00%,0.00%,0.00%,0.00%,100.00%
ND,week2,0.00%,0.00%,0.00%,0.00%,100.00%
ND,week3,0.00%,0.00%,0.00%,0.00%,0.00%
ND,week4,0.00%,0.00%,0.00%,0.00%,0.00%
ND,week5,0.00%,0.00%,0.00%,0.00%,0.00%
NE,week1,14.29%,0.00%,57.14%,14.29%,14.29%
NE,week2,0.00%,0.00%,0.00%,0.00%,0.00%
NE,week3,0.00%,0.00%,100.00%,0.00%,0.00%
NE,week4,33.33%,0.00%,66.67%,0.00%,0.00%
NE,week5,0.00%,0.00%,33.33%,33.33%,33.33%
NH,week1,50.00%,0.00%,25.00%,0.00%,25.00%
NH,week2,40.00%,0.00%,40.00%,0.00%,20.00%
NH,week3,100.00%,0.00%,0.00%,0.00%,0.00%
NH,week4,50.00%,0.00%,16.67%,0.00%,33.33%
NH,week5,0.00%,0.00%,0.00%,0.00%,0.00%
NJ,week1,31.65%,3.80%,42.41%,3.16%,18.99%
NJ,week2,25.71%,2.86%,40.00%,8.57%,22.86%
NJ,week3,24.00%,4.00%,28.00%,4.00%,40.00%
NJ,week4,37.78%,2.22%,46.67%,0.00%,13.33%
NJ,week5,33.96%,5.66%,47.17%,1.89%,11.32%
NM,week1,42.86%,0.00%,28.57%,0.00%,28.57%
NM,week2,0.00%,0.00%,100.00%,0.00%,0.00%
NM,week3,50.00%,0.00%,0.00%,0.00%,50.00%
NM,week4,0.00%,0.00%,0.00%,0.00%,0.00%
NM,week5,50.00%,0.00%,25.00%,0.00%,25.00%
NV,week1,56.25%,0.00%,18.75%,0.00%,25.00%
NV,week2,0.00%,0.00%,0.00%,0.00%,100.00%
NV,week3,50.00%,0.00%,0.00%,0.00%,50.00%
NV,week4,55.56%,0.00%,33.33%,0.00%,11.11%
NV,week5,100.00%,0.00%,0.00%,0.00%,0.00%
NY,week1,27.24%,6.50%,43.64%,1.81%,20.81%
NY,week2,26.39%,5.83%,43.61%,2.50%,21.67%
NY,week3,20.31%,5.75%,42.53%,1.15%,30.27%
NY,week4,31.32%,7.18%,43.10%,1.44%,16.95%
NY,week5,28.92%,6.99%,44.82%,1.93%,17.35%
OH,week1,35.19%,5.56%,46.30%,0.00%,12.96%
OH,week2,44.44%,0.00%,44.44%,0.00%,11.11%
OH,week3,30.00%,0.00%,50.00%,0.00%,20.00%
OH,week4,21.43%,7.14%,57.14%,0.00%,14.29%
OH,week5,42.86%,9.52%,38.10%,0.00%,9.52%
OK,week1,40.00%,0.00%,30.00%,10.00%,20.00%
OK,week2,33.33%,0.00%,33.33%,33.33%,0.00%
OK,week3,0.00%,0.00%,0.00%,0.00%,100.00%
OK,week4,66.67%,0.00%,33.33%,0.00%,0.00%
OK,week5,33.33%,0.00%,33.33%,0.00%,33.33%
OR,week1,24.62%,4.62%,41.54%,6.15%,23.08%
OR,week2,35.00%,0.00%,40.00%,5.00%,20.00%
OR,week3,11.76%,5.88%,47.06%,5.88%,29.41%
OR,week4,18.75%,6.25%,43.75%,6.25%,25.00%
OR,week5,33.33%,8.33%,33.33%,8.33%,16.67%
PA,week1,35.96%,4.39%,30.70%,1.75%,27.19%
PA,week2,37.93%,10.34%,31.03%,3.45%,17.24%
PA,week3,30.77%,7.69%,23.08%,0.00%,38.46%
PA,week4,41.18%,0.00%,26.47%,0.00%,32.35%
PA,week5,31.58%,2.63%,36.84%,2.63%,26.32%
PR,week1,100.00%,0.00%,0.00%,0.00%,0.00%
PR,week2,100.00%,0.00%,0.00%,0.00%,0.00%
